
"time","usr","sys","idl","wai","hiq","siq","read","writ","memused","buff","cach","free","used","free","recv","send"
08-05 03:52:59,54.733,8.869,33.234,0.145,0.0,3.019,0.0,2091520.0,23687868416.0,1486848.0,4521152512.0,22256771072.0,0.0,25375535104.0,23967049.200,14412605.0
08-05 03:53:04,50.952,11.255,34.716,0.128,0.0,2.950,0.0,1614131.200,23690047488.0,1486848.0,4528824320.0,22246920192.0,0.0,25375535104.0,22432438.400,13424658.200
08-05 03:53:09,48.552,7.662,40.550,0.127,0.0,3.109,0.0,1536307.200,23692279808.0,1486848.0,4536299520.0,22237212672.0,0.0,25375535104.0,22860200.0,13313791.0
08-05 03:53:14,52.180,8.455,35.848,0.128,0.009,3.380,0.0,1706598.400,23693316096.0,1486848.0,4544487424.0,22227988480.0,0.0,25375535104.0,24788035.200,14292709.800
08-05 03:53:19,53.526,8.720,34.130,0.094,0.0,3.530,0.0,1738444.800,23691952128.0,1486848.0,4552822784.0,22221017088.0,0.0,25375535104.0,24989385.400,14688960.200
08-05 03:53:24,54.707,10.772,30.770,0.093,0.0,3.658,0.0,1753088.0,23688679424.0,1486848.0,4561350656.0,22215761920.0,0.0,25375535104.0,25111634.0,14882428.400
08-05 03:53:29,51.978,8.447,36.239,0.195,0.0,3.141,0.0,1638707.200,23684870144.0,1486848.0,4569350144.0,22211571712.0,0.0,25375535104.0,23841411.0,14104219.0
08-05 03:53:34,54.243,8.902,33.452,0.102,0.0,3.301,0.0,1711616.0,23683821568.0,1486848.0,4577783808.0,22204186624.0,0.0,25375535104.0,24914571.400,14530818.400
08-05 03:53:39,52.168,8.504,35.814,0.153,0.0,3.361,0.0,3439001.600,23685177344.0,1486848.0,4585897984.0,22194716672.0,0.0,25375535104.0,24187869.0,14195156.400
08-05 03:53:44,54.647,11.404,30.501,0.136,0.0,3.313,0.0,1688473.600,23684952064.0,1486848.0,4594573312.0,22186266624.0,0.0,25375535104.0,24354797.400,14547032.0
08-05 03:53:49,54.439,8.862,33.257,0.179,0.0,3.263,0.0,1690214.400,23683256320.0,1486848.0,4602150912.0,22180384768.0,0.0,25375535104.0,24208564.0,14513792.800
08-05 03:53:54,53.532,8.459,34.728,0.145,0.0,3.137,0.0,1687347.200,23680569344.0,1486848.0,4610560000.0,22174662656.0,0.0,25375535104.0,23946146.0,14259473.800
08-05 03:53:59,55.072,8.726,32.739,0.153,0.008,3.302,0.0,2124492.800,23681400832.0,1486848.0,4514201600.0,22270189568.0,0.0,25375535104.0,24560235.400,14497456.400
08-05 03:54:04,52.901,12.078,31.764,0.110,0.0,3.147,0.0,1687449.600,23681302528.0,1486848.0,4522229760.0,22262259712.0,0.0,25375535104.0,23288949.800,14220940.600
08-05 03:54:09,56.845,8.551,31.218,0.128,0.0,3.259,0.0,1728000.0,23677145088.0,1486848.0,4530487296.0,22258159616.0,0.0,25375535104.0,24582530.0,14692892.200
08-05 03:54:14,55.425,8.219,33.342,0.127,0.0,2.887,0.0,1629388.800,23676706816.0,1486848.0,4538593280.0,22250491904.0,0.0,25375535104.0,23366781.600,13917233.200
08-05 03:54:19,53.581,8.595,34.449,0.170,0.008,3.196,0.0,1688576.0,23676833792.0,1486848.0,4547149824.0,22241808384.0,0.0,25375535104.0,24130952.600,14083294.0
08-05 03:54:24,51.819,10.949,33.917,0.119,0.0,3.196,0.0,1648332.800,23678218240.0,1486848.0,4554661888.0,22232911872.0,0.0,25375535104.0,23349323.600,14121103.800
08-05 03:54:29,52.781,8.491,35.416,0.127,0.0,3.184,0.0,1686630.400,23677968384.0,1486848.0,4563075072.0,22224748544.0,0.0,25375535104.0,24428355.600,14016366.600
08-05 03:54:34,53.199,9.277,34.236,0.119,0.0,3.169,0.0,1654784.0,23675920384.0,1486848.0,4570996736.0,22218874880.0,0.0,25375535104.0,24129198.200,14504487.0
